id,product_id,source_name,product_url,title,offer_price,mrp,brand,model,style,color,sport_type,material,height,weight,description,image,product_attributes,tags,created_on,updated_on,num_mrp,suggested_brand_id,suggested_brand_name,is_duplicate,formatted_name
68420,B07SJF7SSF,amazon,https://www.amazon.in/ZR-Badminton-Racquet-Orange-Shuttlecock/dp/B07SJF7SSF/ref=sr_1_5332_mod_primary_new?qid=1674569234&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5332,Yonex ZR 100 Light Badminton Combo (Set of 2 Yonex ZR 100 Light Badminton Racquet with Full Cover Red/Orange+ Mavis 200I Shuttlecock Pack of 6),1899,1975,YONEX,NULL,NULL,NULL,badminton,Aluminum,NULL,NULL," Zr 100: Composition ‚Äì Aluminum, weight - 95 to 100 g, grip size - G4   Zr 100: made in India - this is a revolutionary product by Yonex which is developed in Japan and made in India   Ideal for beginners and intermediate level players   Zr 100L: comes with full Cover   A 200i: nylon Shuttlecock, keep tube U with cork facing down, store away from high temperatures, made in Taiwan, pack of 6   In-box Contents: 2 Badminton Racquets, 1 tube a 200i  ",https://m.media-amazon.com/images/I/416z1a4wyqL._SX300_SY300_QL70_ML2_.jpg,[],NULL,24-01-2023,24-01-2023,1899,NULL,zr,FALSE,yonex_zr_100_light_badminton_combo_set_of_2_yonex_zr_100_light_badminton_racquet_with_full_coverorange_mavis_200i_shuttlecock_pack_of_6
139903,B07QJXD1H6,amazon,https://www.amazon.in/Arcsaber-3300-Tour-Badminton-Graphite/dp/B07QJXD1H6/ref=sr_1_1443?qid=1679426324&s=sports&sr=1-1443,"Yonex Arcsaber 3300 Tour Badminton Racquet (Black Lime, Graphite, G4)(MADE IN JAPAN )",6670,7990,YONEX,NULL,NULL,NULL,Badminton,Graphite,NULL,NULL," Flex: medium,   Balance: even,   Graphite frame and shaft   Material: Other   In-box Contents: 1 Badminton Racquet  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31WbGqwXcFL._SX300_SY300_QL70_ML2_.jpg,[],NULL,20-03-2023,21-03-2023,NULL,NULL,NULL,FALSE,NULL
167537,B0B21DJG1P,amazon,https://www.amazon.in/Nanoray-Graphite-Badminton-Racquet-Purple/dp/B0B21DJG1P/ref=sr_1_4517?qid=1679427225&s=sports&sr=1-4517,Yonex Nanoray 70 Light 5U-G5 Graphite Frame Badminton Racquet (Deep Purple),2199,3390,YONEX,NULL,NULL,NULL,Badminton,Graphite,NULL,NULL," Composition: Graphite, Weight - 75 (+/- 2), Grip size - 5U/G5, Tension: 20 - 30 lbs, Shape: Isometric   ISOMETRICTM technology continues to help the world‚Äôs greatest players achieve global success. ISOMETRICTM delivers greater control without sacrificing power.   The aero-box frames help to minimize air resistance so air flows faster across the curved surface during the swing, accelerating the head speed and transferring more speed and power into hits. Great potential as an all-around and perfect racket for double players as it's easy to maneuver due to its weight and length.   Aerodynamic contouring of the top of the frame minimizes air resistance so air flows faster across the curved surface during the swing, accelerating the head speed and transferring more speed and power into hits. this construction tapers into the YONEX Box Shape midway through the frame for high stability, low-torque performance and more accuracy.   The control support cap provides an 88% wider flat surface compared with an ordinary racquet for easier gripping, fast follow-through and the sharpest maneuverability.  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41-vUu4UjtL._SX300_SY300_QL70_ML2_.jpg,[],NULL,21-03-2023,21-03-2023,NULL,NULL,NULL,FALSE,NULL
69132,B07ZJB3S8M,amazon,https://www.amazon.in/YONEX-Synthetic-Double-Compartment-Badminton/dp/B07ZJB3S8M/ref=sr_1_8114?qid=1679428229&s=sports&sr=1-8114,YONEX SUNR 1820 Synthetic Double Compartment Badminton Kit Bag,1290,NULL,YONEX,NULL,NULL,NAVY,Badminton,Polyurethane,NULL,NULL," Sling bag - adjustable padded straps that allow bag to be carried easily and comfortably   Racquets compartment - foam-lined compartment designed to hold five racquets   Accessories pocket - easily accessible storage for extra grip, strings, sweatbands and other accessories   Material: Blend   New Design 2019  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/317JDZN7zIL._SY300_SX300_QL70_ML2_.jpg,[],NULL,24-01-2023,21-03-2023,NULL,NULL,yonex,FALSE,yonex_sunr_1820_synthetic_double_compartment_badminton_kit_bag
71677,B0B4DXSD35,amazon,https://www.amazon.in/Yonex-Aracsaber-Grayish-Badminton-Racquet/dp/B0B4DXSD35/ref=sr_1_5198?qid=1674577609&s=sports&sr=1-5198,Yonex Aracsaber 11 Pro Grayish Pearl Badminton Racquet with Full Cover(Made in Japan),17990,NULL,YONEX,NULL,NULL,NULL,badminton,Graphite,NULL,NULL, HM Graphite   Iso Metric   Solid Feel Core   Ultra Pe Fiber   Super Slim Shaft  ,https://m.media-amazon.com/images/I/31P99EghVEL._SX300_SY300_QL70_ML2_.jpg,[],NULL,24-01-2023,24-01-2023,17990,NULL,yonex,FALSE,yonex_aracsaber_11_pro_grayish_pearl_badminton_racquet_with_full_covermade_in_japan
68456,B0B4NRFGTD,amazon,https://www.amazon.in/Yonex-Voltric-Strung-Badminton-Racquet/dp/B0B4NRFGTD/ref=sr_1_6997?qid=1674578360&s=sports&sr=1-6997,"Yonex Voltric 25I Strung Badminton Racquet, 5U/G5 Blue",1850,2990,YONEX,NULL,NULL,NULL,badminton,Graphite,NULL,NULL," NEW BUILT-IN T-JOINT - Increased Shuttle Stability|?¢‚Ç¨ÀúNEW?¢‚Ç¨ Built-in T-Joint is manufactured from a special lightweight plastic combined with epoxy resin and foaming agent that enhances quality and performance by increasing the stability of the shuttle on the string bed and through the air.   ISOMETRIC - Enlarged Sweet Spot compared to a conventional round frame, a square-shaped ISOMETRIC racquet generates a larger sweet spot by optimizing the intersection of the main and cross strings. ISOMETRIC delivers greater control without sacrificing power.   AERO+BOX FRAME - Combines solid hitting feel and quick swing.; Control Support CAP - Sharp Maneuverability. The control support cap provides an 88% wider flat surface compared with an ordinary racquet for easier gripping, fast follow-through and the sharpest maneuverability.   NEW GROMMET PATTERN - High-Performance.The single-pass grommet hole construction provides more grommet holes for a more high-performance stringing pattern.   Skill Level: Intermediate  ",https://m.media-amazon.com/images/I/41OVlPjHrKL._SX300_SY300_QL70_ML2_.jpg,[],NULL,24-01-2023,24-01-2023,1850,NULL,yonex,FALSE,yonex_voltric_25i_strung_badminton_racquet_5ug5
31427,B07SLLL3MS,amazon,https://www.amazon.in/Yonex-ZR-Aluminum-Badminton-Racquet/dp/B07SLLL3MS/ref=sr_1_752?qid=1674379752&s=sports&sr=1-752,YONEX ZR 100 Light Aluminium Blend Badminton Racquet with Full Cover (Red/Red) - Set of 2,979,1500,YONEX,NULL,NULL,NULL,badminton,Aluminum,NULL,NULL," Yonex badminton Racquet ZR 100 light pack of 2   Zr 100: Composition ‚Äì Aluminum, weight - 95 to 100 g, grip size - G4   Zr 100: made in India - this is a revolutionary product by Yonex which is developed in Japan and made in India   Ideal for beginners and intermediate level players   ZR 100L: comes with full Cover   Material: Aluminum   In-box Contents: 2 Badminton Racquets  ",https://m.media-amazon.com/images/I/41+ulF1T6fL._SY300_SX300_.jpg,[],NULL,06-01-2023,22-01-2023,979,NULL,yonex,FALSE,yonex_zr_100_light_aluminium_blend_badminton_racquet_with_full_coverred_set_of_2
33689,B08VD5ZTLD,amazon,https://www.amazon.in/YONEX-Badminton-Aluminum-Racquet-ZR111/dp/B08VD5ZTLD/ref=sr_1_6585?qid=1676983082&s=sports&sr=1-6585,YONEX Badminton Aluminum Racquet ZR111 G4 U (Light Orange) (ZR111 Light),499,750,YONEX,NULL,NULL,NULL,Badminton,Aluminum,NULL,NULL, Isometric   Intermediate   Aluminum   Item Package Weight: 120.0 grams   Skill Level: Beginner; Frame Material Type: Aluminium  ,https://m.media-amazon.com/images/I/31f4zqmIWaL._SY300_SX300_.jpg,[],NULL,06-01-2023,21-02-2023,499,NULL,yonex,FALSE,yonex_badminton_aluminum_racquet_zr111_g4_u_light_zr111_light
73621,B01F9YUE0C,amazon,https://www.amazon.in/Yonex-AC-402-EX-Assorted/dp/B01F9YUE0C/ref=sr_1_1128?qid=1676966615&s=sports&sr=1-1128,Yonex AC 402 EX Cotton Towel Grip (Assorted),170,300,YONEX,NULL,NULL,Assorted,NULL,Cotton,NULL,NULL, Product Type: Accessories   This product is imported from USA   It is a 100-percent genuine product   The price includes import custom duties and taxes   Material: Cotton  ,https://m.media-amazon.com/images/I/41kaYYB0nuL._SY300_SX300_.jpg,[],NULL,21-02-2023,21-02-2023,170,NULL,yonex,FALSE,yonex_ac_402_ex_cotton_towel_grip_assorted
73749,B0BB8F3M2V,amazon,https://www.amazon.in/YONEX-Wrist-WB11501-WHITE-8903224342579/dp/B0BB8F3M2V/ref=sr_1_5434?qid=1679435500&s=sports&sr=1-5434,Yonex Wrist Band WB11501,199,NULL,YONEX,NULL,NULL,navy white,Badminton,Polyester,NULL,NULL," One Size Fits All   Stretch Fit   Size:110mm x 80mm   Material:Cottan 70% ,Polyester 23% ,Elastodiene 6% ,Elastane 1 %  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41n9ehrKctL._SX300_SY300_QL70_ML2_.jpg,[],NULL,21-02-2023,21-03-2023,199,NULL,yonex,FALSE,yonex_wrist_band_wb11501
