,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
56,"li-ning mega power 8 strung aluminum badminton racket with head cover (multicolour), navy/pink",489.0,1190.0,,,,,"li-ning mega power 8 strung aluminum badminton racket with head cover , /","navy, pink",,No,
57,"li-ning hot shot triple zipper polyester badminton kit bag (navy, silver)",1299.0,2290.0,,,,,li-ning hot shot triple zipper polyester badminton kit bag,"navy, silver",,No,
58,li-ning turbo 99 unstrung carbon fiber badminton racket with free full cover (black/orange),1790.0,4590.0,,,,,li-ning turbo 99 unstrung carbon fiber badminton racket with free full cover,"black, orange",,No,
59,li-ning turbo x iii carbon fibre strung badminton racket,1798.0,4090.0,,,,,li-ning turbo x iii carbon fibre strung badminton racket,,,No,
60,li-ning turbo x iii carbon fibre strung badminton racket,1799.0,4090.0,,,,,li-ning turbo x iii carbon fibre strung badminton racket,,,No,
61,"li-ning xp 901-pv sindhu signature series aluminum-alloy strung badminton racquet (set of 1,black/green , s2 , 90-95 grams , 18-20 lbs )",499.0,1190.0,,,,,li-ning xp 901-pv sindhu signature series aluminum-alloy strung badminton racquet,"black, green",,No,
62,"li-ning xp-70-iv strung aluminum badminton racket with free head cover(black/gold,set of 1)",399.0,990.0,,,,,li-ning xp-70-iv strung aluminum badminton racket with free head cover,"black, gold",,No,
63,li-ning gc002 cotton single layer towel grip for badminton racquet,355.0,399.0,,,,,li-ning gc002 cotton single layer towel grip for badminton racquet,,,No,
64,"li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover (79 grams, 30 lbs)",7675.0,12790.0,,,,,li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover,,,No,
65,"li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover (79 grams, 30 lbs)",7490.0,9990.0,,,,,li-ning windstorm 700 special edition badminton unstrung carbon fiber racket with free full cover,,,No,
66,"li-ning 3d calibar x combat carbon graphite strung badminton racquet, 85 grams, 30 lbs string tension and free full cover(black/lime)",4290.0,7990.0,,,,,"li-ning 3d calibar x combat carbon graphite strung badminton racquet, 85 grams, 30 lbs string tension and free full cover","black, lime",,No,
67,"li-ning xp 707 pro strung badminton racket (2xrackets + 1 kit bag, red/yellow)",1529.0,3679.0,,,,,li-ning xp 707 pro strung badminton racket,"red, yellow",,No,
68,"li-ning carbon fibre super series 900 strung badminton racket with full cover (84 grams, grey/copper)",2149.0,4290.0,,,,,li-ning carbon fibre super series 900 strung badminton racket with full cover,"grey, copper",,No,
