normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,best_price_platform
li-ning wind lite stealth carbon fibre strung badminton racket with free full cover (powered by windstorm),3340.0,3340.0,,,,,Amazon
"li-ning air force 78 g2 carbon fibre unstrung badminton racket with free full cover, black, silver",2940.0,5590.0,,,,,Amazon
"li-ning xp-90-iv strung aluminum badminton racket with free head cover(set of 1,white/silver)",399.0,990.0,,,,,Amazon
"li-ning hot shot triple zipper polyester badminton kit bag (black, gold)",1289.0,2290.0,,,,,Amazon
"li-ning g-force 3600 superlite carbon fibre strung badminton racket (dark grey, gold, g4 - 4 1/2 inches)",1889.0,4590.0,,,,,Amazon
li-ning g-force 3600 superlite carbon fibre strung badminton racket - dark grey/gold,2330.0,4590.0,,,,,Amazon
"li-ning xp 2020 special edition (aypq154-5) blend strung badminton racquet (white) with free head cover(set of 1), blend",382.5,1090.0,,,,,Amazon
yonex gr-303 aluminum badminton racquet with extra grip (blue),799.0,899.0,,,,,Amazon
yonex wrist band wb08501,179.0,,,,,,Amazon
yonex wrist band wb08501,179.0,,,,,,Amazon
yonex astrox smash badminton pre-strung racket (black/flame red)(fg5),8743.0,,,,,,Amazon
yonex zr 111 light aluminium badminton racquet with full cover | made in india,391.9,750.0,,,,,Amazon
yonex zr 111 light aluminium badminton racquet with full cover | made in india,421.95,800.0,,,,,Amazon
"yonex graphite badminton racquet astrox lite 27i (g4 , 77 grams , 30 lbs tension , blue)",2431.0,2431.0,,,,,Amazon
"yonex graphite badminton racquet astrox lite 27i (g4 , 77 grams , 30 lbs tension , blue)",1819.0,2999.0,,,,,Amazon
"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",1285.0,1500.0,,,,,Amazon
"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2",979.0,979.0,,,,,Amazon
"yonex carbon fibre, graphite muscle power 29 light 2020 model slim shaft badminton racquet (dark grey)",2684.0,4390.0,,,,,Amazon
yonex astrox 88d tour badminton racquet|4u g5|camel gold|power |stiff |r o t a t i o n a l generator system |flex fuse |n amd ▢|head heavy |taiwan|developed in japan,8350.0,11990.0,,,,,Amazon
yonex voltric z force ii professional badminton racquet with free full cover | tri-voltage system | made in japan,14524.0,17100.0,,,,,Amazon
yonex aracsaber 11 play grayish pearl graphite frame badminton racquet with full cover,3720.0,4310.0,,,,,Amazon
astrox 99 play white tiger strung with full cover,3799.0,5390.0,,,,,Amazon
"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",1979.0,1979.0,,,,,Amazon
"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",1899.0,2990.0,,,,,Amazon
"yonex nanoray light 18i graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",3958.0,3958.0,,,,,Amazon
yonex zr 100 light badminton combo (set of 2 yonex zr 100 light badminton racquet with full cover blue/orange + mavis 200i shuttlecock pack of 6),1635.0,,,,,,Amazon
yonex astrox 99 game strung badminton racquet - cherry sunburst,5464.78,8390.0,,,,,Amazon
"yonex ac 7405 e2t rubber badminton grip (multicolour), polyurethane",170.0,,,,,,Amazon
yonex astrox 99 play badminton racquet with full cover (white tiger) material: graphite,3899.0,5390.0,,,,,Amazon
yonex gr 303 aluminium blend badminton racquet with full cover,499.0,750.0,,,,,Amazon
yonex gr 303 aluminium blend badminton racquet with full cover,499.0,750.0,,,,,Amazon
badminton bag sunr 2215 bt5 black neon/8903224352264,730.0,1490.0,,,,,Amazon
yonex graphite badminton racquet astrox 88d game with full cover (camel gold),6990.0,8190.0,,,,,Amazon
yonex graphite badminton racquet astrox 99 pro with full cover (white tiger),14196.0,17990.0,,,,,Amazon
"yonex graphite duora z strike professional badminton racquet with free full cover (black, white, 88 grams , 28 lbs tension, made in japan)",11749.0,18795.0,,,,,Amazon
yonex badminton club racquet bag 22426t bt6-sr,3320.0,4599.0,,,,,Amazon
"yonex astrox 77 pro badminton racquet (unstrung) (4ug5) ,orange,carbon graphite",11089.0,19595.0,,,,,Amazon
"yonex smash badminton racquet (g4, 73 grams, 28 lbs tension)",2495.0,4190.0,,,,,Amazon
"yonex voltric lite badminton pre-strung racket (black/yellow)(4ug5), graphite",2879.0,3990.0,,,,,Amazon
"yonex graphite badminton racquet astrox 1dg (blue, black)",3790.0,5190.0,,,,,Amazon
"yonex ac 402 ex synthetic badminton grip, yellow",181.0,,,,,,Amazon
"yonex nanoflare 700 badminton racquet (blue green, graphite, g5 - 83g)(made in japan )",16603.0,17990.0,,,,,Amazon
"yonex astrox lite 27i graphite strung badminton racquet (g5 , dark navy)",2099.0,2990.0,,,,,Amazon
"yonex graphite badminton racquet astrox lite series (g4, 77 grams, 30 lbs tension) (astrox 01 ability red)",2075.0,3150.0,,,,,Amazon
"yonex badminton racket nanoray series 2018 with full cover professional graphite carbon shaft light weight competition racquet high tension fast speed performance (nr18i-black, pack of 1)",8830.0,14096.0,,,,,Amazon
yonex aluminum badminton racquet zr111 light g4 u (lime ),575.0,750.0,,,,,Amazon
yonex gr 303i made in india pack of 2 with mavis 200i shuttlecock combo |made in india|,1680.0,2265.0,,,,,Amazon
yonex astrox 99 play badminton racket (white tiger) (4ug5) (pre-strung),14718.0,18999.0,,,,,Amazon
yonex badminton racquet voltric lite 20i,1899.0,2990.0,,,,,Amazon
yonex aluminum badminton racquets and 2 pieces shuttlecock super value combo two - alpha black,1280.0,1669.0,,,,,Amazon
yonex zr 100l m200i aluminum strung badminton racquet (blue) with full cover,1813.0,2430.0,,,,,Amazon
yonex gr 303f aluminum strung badminton racquet,1899.0,2175.0,,,,,Amazon
yonex gr 303f aluminum strung badminton racquet,1253.0,1970.0,,,,,Amazon
yonex gr 303f aluminum strung badminton racquet,1267.2,1500.0,,,,,Amazon
"yonex graphite badminton racquet astrox100zz (kurenai, g4, 83 grams, 28lbs tension)",16603.0,17990.0,,,,,Amazon
"yonex badminton racquet astrox lite 21i,graphite, black",1819.0,2990.0,,,,,Amazon
"yonex arcsaber 11 pro badminton racquet - unstrung (4u,g5) ,grey,graphite",14415.0,19595.0,,,,,Amazon
yonex badminton champion racquet bag 22926t bt6-sr,7109.0,7899.0,,,,,Amazon
yonex badminton champion racquet bag 22926t bt6-sr,5588.0,7899.0,,,,,Amazon
"yonex nanoray 6000i g4-u aluminum badminton racquet with full cover (red) & yonex mavis 10 nylon shuttlecock, yellow, pack of 6 | made in japan (green cap)",2093.0,2093.0,,,,,Amazon
"yonex graphite badminton racquet smash ( black flash red , g4 , 73 grams , 28 lbs tension)",2409.0,4190.0,,,,,Amazon
"yonex voltric lite 20-i strung graphite badminton racquet, blue/lime",1843.0,2790.0,,,,,Amazon
yonex bn152c pro badminton net (maroon),2490.0,,,,,,Amazon
yonex badminton full cover for astrox racquet,499.0,599.0,,,,,Amazon
"yonex astrox 01 badminton racquet (rotational generator system, aero + box frame, 28 lbs tension)",2199.0,3150.0,,,,,Amazon
"yonex astrox 01 badminton racquet (rotational generator system, aero + box frame, 28 lbs tension)",1898.59,3150.0,,,,,Amazon
"yonex unisex astrox smash graphite badminton racquet with full cover, rotational generator system (ultra light - 73 grams, 28 lbs tension, navy white blue)",2257.0,3150.0,,,,,Amazon
"yonex graphite badminton racquet, muscle power 22lt black blue",2310.0,3590.0,,,,,Amazon
"yonex arcsaber 71 light white graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",2294.0,3150.0,,,,,Amazon
"yonex muscle power graphite 29 light badminton racquet (blue, g4, 80-84.9 grams, 30 lbs tension)",3395.0,4200.0,,,,,Amazon
yonex zr 100 light aluminium badminton racquet with full cover | made in india(set of 1) | blue,483.84,750.0,,,,,Amazon
yonex gr 303 strung aluminum badminton racquet with half cover (silver),750.0,1029.0,,,,,Amazon
yonex zr 100 aluminum light badminton racquet with full cover (orange) - set of 2 with mavis 200i shuttlecock - pack of 6 badminton combo,1813.0,2100.0,,,,,Amazon
"yonex graphite badminton racquet astrox 0.7dg (yellow, black)",3599.0,4990.0,,,,,Amazon
"yonex graphite voltric z force ii unstrung badminton racquet (black, g4, 80-84.9 grams, 24 lbs)",16020.0,17100.0,,,,,Amazon
"yonex gr303 aluminum badminton racquet with cover, pack of 2 (silver)",1434.51,1500.0,,,,,Amazon
yonex duora 10 lt graphite unstrung badminton racquet (pink/yellow) badminton racquet,14500.0,17100.0,,,,,Amazon
yonex endorsed by legend lee chong wei special limited edition badminton kitbag(red),2637.0,3000.0,,,,,Amazon
"yonex gr 303 aluminium blend badminton racquet with full cover, set of 2 (silver/silver)",979.0,1500.0,,,,,Amazon
"yonex astrox 21i badminton racquet, 5u5",1885.0,2990.0,,,,,Amazon
"yonex nanoflare 700 unstrung graphite badminton racket, grip size g5 (red)",16603.0,17990.0,,,,,Amazon
"yonex astrox 01 feel strung badminton racquet, lime, graphite",2095.0,3590.0,,,,,Amazon
"yonex arcsaber 71 light navy blue graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",2549.0,3390.0,,,,,Amazon
