,Unnamed: 0,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
479,479,"li-ning windstorm 79-s unstrung badminton racquet, black/gold",,,6815.0,10990.0,,,"li-ning windstorm 79-s unstrung badminton racquet, /","black, gold",,No,
480,480,"li-ning windstorm 79-s unstrung badminton racquet, navy/silver",,,6815.0,10990.0,,,"li-ning windstorm 79-s unstrung badminton racquet, /","navy, silver",,No,
481,481,"li-ning g-force superlite max 9 strung badminton racquet, black/red",,,2095.0,4990.0,,,"li-ning g-force superlite max 9 strung badminton racquet, /","black, red",,No,
482,482,"li-ning g-force superlite max 9 strung badminton racquet, white/purple",,,2095.0,4990.0,,,"li-ning g-force superlite max 9 strung badminton racquet, /purple",white,,No,
483,483,"li-ning g200 feather shuttlecock, speed 77 (pack of 12 shuttles)",,,1395.0,1990.0,,,"li-ning g200 feather shuttlecock,",,pack of 12,No,speed 77
484,484,li-ning g-force superlite 3700 strung badminton racquet,,,1990.0,4590.0,,,li-ning g-force superlite 3700 strung badminton racquet,,,No,
485,485,li-ning g-force superlite 3900 strung badminton racquet,,,1990.0,4590.0,,,li-ning g-force superlite 3900 strung badminton racquet,,,No,
486,486,"li-ning g-force superlite max 9 strung badminton racquet, navy/blue",,,2095.0,4990.0,,,"li-ning g-force superlite max 9 strung badminton racquet, /","navy, blue",,No,
487,487,"li-ning axforce 20 (4u-g5) unstrung badminton racquet, blue/white",,,4755.0,7790.0,,,"li-ning axforce 20 unstrung badminton racquet, /","blue, white",,No,
488,488,"li-ning akss995-4 badminton shorts for men, navy",,,749.0,999.0,,,"li-ning akss995-4 badminton shorts for men,",navy,,No,
489,489,"li-ning akss995-2 badminton shorts for men, black/lime",,,749.0,999.0,,,"li-ning akss995-2 badminton shorts for men, /","black, lime",,No,
490,490,"li-ning akss995-1 badminton shorts for men, black/silver",,,749.0,999.0,,,"li-ning akss995-1 badminton shorts for men, /","black, silver",,No,
491,491,li-ning air force g2 carbon fibre badminton racket - 79 grams,,,2849.0,5590.0,,,li-ning air force g2 carbon fibre badminton racket - 79 grams,,,No,
492,492,li-ning bolt gold shuttle (6 in 1) nylon shuttlecocks,,,645.0,1399.0,,,li-ning bolt shuttle nylon shuttlecocks,gold,,No,
493,493,li-ning halberd iii lite professional badminton shoes,,,5995.0,7990.0,,,li-ning halberd iii lite professional badminton shoes,,,No,
494,494,"li-ning blast pro professional badminton competition shoes, silver",,,13595.0,16990.0,,,"li-ning blast pro professional badminton competition shoes,",silver,,No,
495,495,li-ning ayts020 lei ting lite badminton training shoes,,,4269.0,5690.0,,,li-ning ayts020 lei ting lite badminton training shoes,,,No,
496,496,li-ning gyrfalcon v professional badminton shoes (fluorescent orange/fluorescent plum purple),,,12475.0,15590.0,,,li-ning gyrfalcon v professional badminton shoes,orange,,No,
497,497,li-ning aksp841-5sr badminton shorts for men (navy),,,749.0,999.0,,,li-ning aksp841-5sr badminton shorts for men,navy,,No,
498,498,"li-ning tectonic 3 r-series strung badminton racket, blue/gold/pink (5uig6)",,,4969.0,7890.0,,,"li-ning tectonic 3 r-series strung badminton racket, //","blue, gold, pink",,No,
499,499,"li-ning tectonic 3 r-series strung badminton racket, black/gold/red (4uig6)",,,4969.0,7890.0,,,"li-ning tectonic 3 r-series strung badminton racket, //","black, gold, red",,No,
500,500,li-ning gp22+ extra tacky and anti-slip badminton grip (3 in 1),,,255.0,299.0,,,li-ning gp22+ extra tacky and anti-slip badminton grip,,,No,
501,501,li-ning ultra iv non marking badminton shoes,,,3205.0,4390.0,,,li-ning ultra iv non marking badminton shoes,,,No,
502,502,"li-ning tectonic 7i full-carbon fiber badminton racket, unstrung (white/blue/pink)",,,12875.0,22990.0,,,"li-ning tectonic 7i full-carbon fiber badminton racket, unstrung","white, blue, pink",,No,
503,503,li-ning 3d calibar 300i instinct unstrung badminton racquet,,,6845.0,10690.0,,,li-ning 3d calibar 300i instinct unstrung badminton racquet,,,No,
504,504,li-ning 3d calibar 600 carbon-fiber unstrung badminton racquet,,,10195.0,16990.0,,,li-ning 3d calibar 600 carbon-fiber unstrung badminton racquet,,,No,
505,505,li-ning super series ss900 strung badminton racquet -grey/copper,,,2189.0,4290.0,,,li-ning super series ss900 strung badminton racquet -/,"grey, copper",,No,
